Band	QRG	Date	Time	Call	Rcvd Call	Correct Call	Type of Bust
20M	14043	2025-10-18	1845	W2M	K8RFI	K8RGI	Off By One
40M	7037	2025-10-18	1519	KV2X	K8SCA	KO8SCA	Off By One
40M	7037	2025-10-18	1432	W2FU	K9CC	K9CW	Off By One
80M	3543	2025-10-18	2319	W2FU	K9DC	W9DC	Off By One
40M	7029	2025-10-18	2327	K2Q	K9GPW	K9PW	Off By One
40M	7029	2025-10-18	2327	K2Q	K9GPW	K9PW	Off By One
15M	21038	2025-10-18	2029	W2TB	K9GX	KG9X	Off By One
80M	3533	2025-10-19	0134	N2B	K9RGI	K8RGI	Off By One
40M	7192	2025-10-18	2300	KE2X	K9TCV	W9TCV	Off By One
40M	7038	2025-10-18	2312	N2T	K9TMW	K9PW	Off By Two
40M	7214	2025-10-18	1601	WA2JQK	KA2I	KA2FIR	Off By Two
20M	14000	2025-10-18	2117	W3LBY	KA2NE	KA2ENE	Off By One
40M	7036	2025-10-18	1834	W2GR	KA2NYY	WA2NYY	Off By One
20M	14039	2025-10-18	1546	N2PP	KA4GF	KW4GF	Off By One
20M	14251	2025-10-18	1431	K2EP	KA8HGE	KA8HDE	Off By One
40M	7194	2025-10-18	1440	W2JCT	KA8TA	KA8TOA	Off By One
40M	7205	2025-10-18	1445	N2PYH	KA8TOH	KA8TOA	Off By One
40M	7214	2025-10-18	1431	WA2JQK	KA8TOM	KA8TOA	Off By One
40M	7194	2025-10-18	1747	WA2DNI	KB2AIV	WB2AIV	Off By One
80M	3531	2025-10-19	0138	KX2NY	KB2CG	KB4CG	Off By One
40M	7000	2025-10-18	1851	KQ2R	KB2DT	KB2TDT	Off By One
40M	7233	2025-10-18	1848	AB1BL	KB2KDT	KB2TDT	Off By One
40M	7000	2025-10-18	1748	KA8TOA	KB2SIH	WB2SIH	Off By One
40M	7236	2025-10-18	1746	KE1IH	KB2SIH	WB2SIH	Off By One
40M	7236	2025-10-18	1750	W1SSN	KB2SIH	WB2SIH	Off By One
40M	7259	2025-10-18	2340	AH2O	KB8LGS	KB9LGS	Off By One
40M	7220	2025-10-19	0125	K2XA	KB9ZGS	KB9LGS	Off By One
40M	7000	2025-10-18	1426	W2DXE	KC2JUF	KC2WUF	Off By One
40M	7226	2025-10-18	1419	NN2L	KC2KSS	KC2KDD	Off By Two
40M	7253	2025-10-18	1758	K8MR	KC2MCV	KC2MBV	Off By One
80M	3527	2025-10-19	0013	N2Y	KC2NY	KX2NY	Off By One
80M	3527	2025-10-19	0013	N2Y	KC2NY	KX2NY	Off By One
80M	3541	2025-10-19	0119	NM2A	KD2CH	KD2KEH	Off By Two
40M	7179	2025-10-18	1550	N2Y	KD2EFN	KD2EFR	Off By One
40M	7179	2025-10-18	1550	N2Y	KD2EFN	KD2EFR	Off By One
40M	7177	2025-10-18	2313	N2Y	KD2EFN	KD2EFR	Off By One
40M	7177	2025-10-18	2313	N2Y	KD2EFN	KD2EFR	Off By One
80M	3825	2025-10-19	0126	W2CCC	KD2EFT	KD2EFR	Off By One
20M	14000	2025-10-18	2054	W4TTA	KD2FR	KD2EFR	Off By One
80M	3810	2025-10-19	0044	N2Y	KD2FUZ	KD2CTZ	Off By Two
80M	3810	2025-10-19	0044	N2Y	KD2FUZ	KD2CTZ	Off By Two
40M	7234	2025-10-18	1559	WA2DNI	KD2MM	AD2MM	Off By One
80M	3536	2025-10-19	0018	NN2L	KD2NY	KX2NY	Off By One
40M	7192	2025-10-19	0017	AC2VE	KD2X	KE2X	Off By One
40M	7000	2025-10-18	2310	WA9YI	KD2X	KE2X	Off By One
40M	7177	2025-10-18	2315	K1THE	KD2XFR	KD2EFR	Off By One
40M	7180	2025-10-18	2126	K2IW	KD3EFR	KD2EFR	Off By One
20M	14053	2025-10-18	1748	WW2P	KD4CG	KB4CG	Off By One
40M	7033	2025-10-18	1920	N2CU	KE1IS	KE1IH	Off By One
40M	7033	2025-10-18	1920	N2CU	KE1IS	KE1IH	Off By One
15M	21041	2025-10-18	1751	K4GSX	KE2AA	KR2AA	Off By One
40M	7000	2025-10-18	1641	W4YE	KE2AD	KE2SD	Off By One
40M	7026	2025-10-18	1443	K2YG	KE2AI	KE2AIZ	Off By One
